exercise,difficulty_level,target_muscle_group,primary_equipment,posture,single_or_double_arm,continuous_or_alternating_arms,grip,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern,body_region,force_type,mechanics,laterality,primary_exercise_classification
Double Dumbbell Seesaw Incline Bench Press,Beginner,Chest,Dumbbell,Seated,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Seesaw Decline Bench Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Hand Assisted Pistol Squat,Intermediate,Quadriceps,Bodyweight,Single Leg Standing,Double Arm,Continuous,Hand Assisted,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Calisthenics
Double Kettlebell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Goblet,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Horn Grip Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Horn Grip,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Goblet Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Goblet,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Clubbell,Standing,Single Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Order Alternating Curtsy Lunge,Novice,Quadriceps,Macebell,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Alternating Curtsy Lunge,Beginner,Quadriceps,Bodyweight,Standing,No Arms,Continuous,No Grip,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Calisthenics
Heavy Sandbag Bear Hug Alternating Curtsy Lunge,Intermediate,Quadriceps,Heavy Sandbag,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Unsorted*
Heavy Sandbag Shoulder Alternating Curtsy Lunge,Intermediate,Quadriceps,Heavy Sandbag,Standing,Single Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Unsorted*
Plate Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Weight Plate,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Sandbag,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Back Rack Alternating Curtsy Lunge,Novice,Quadriceps,Sandbag,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Hollow Body Hold,Intermediate,Abdominals,Weight Plate,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Unsorted*
Double Dumbbell Seesaw Floor Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Seesaw Bench Press,Beginner,Chest,Kettlebell,Supine,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Seesaw Incline Bench Press,Beginner,Chest,Kettlebell,Supine,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Tuck L Sit,Intermediate,Abdominals,Kettlebell,Tuck L Sit,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Calisthenics
Double Kettlebell Seesaw Decline Bench Press,Beginner,Chest,Kettlebell,Supine,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Hollow Body Hold with Flutter Kicks,Novice,Abdominals,Bodyweight,Supine,Double Arm,Continuous,No Grip,Alternating,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Unsorted*
Double Kettlebell Seesaw Floor Press,Beginner,Chest,Kettlebell,Supine,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Seesaw Overhead Press,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Arnold Press,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Dumbbell Arnold Press,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Dumbbell,Seated,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Dumbbell,Seated,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Feet Elevated Frog Pump,Novice,Glutes,Bodyweight,Supine,No Arms,Continuous,No Grip,Continuous,Feet Elevated,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*
Miniband Feet Elevated Frog Pump,Novice,Glutes,Miniband,Supine,No Arms,Continuous,No Grip,Continuous,Feet Elevated,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Miniband Feet Elevated Glute Bridge,Novice,Glutes,Miniband,Bridge,No Arms,Continuous,No Grip,Continuous,Feet Elevated,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Bodyweight Reverse Plank,Novice,Abdominals,Bodyweight,Supine,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Anti-Flexion,Midsection,Other,Compound,Bilateral,Calisthenics
Wall Ball Toss,Intermediate,Quadriceps,Wall Ball,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Push,Compound,Bilateral,Unsorted*
Wall Ball Feet Elevated Russian Twist Lateral Toss,Intermediate,Abdominals,Wall Ball,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Wall Ball Russian Twist Lateral Toss,Novice,Abdominals,Wall Ball,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Wall Ball Lateral Toss,Novice,Abdominals,Wall Ball,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Wall Ball Sit Up Toss,Intermediate,Abdominals,Wall Ball,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Double Kettlebell Suitcase Bulgarian Split Squat Jump,Advanced,Quadriceps,Kettlebell,Single Leg Supported,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Plyometric
Double Dumbbell Tall Kneeling Arnold Press,Beginner,Shoulders,Dumbbell,Tall Kneeling,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Barbell Zercher Bulgarian Split Squat,Advanced,Quadriceps,Barbell,Single Leg Supported,Double Arm,Continuous,No Grip,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,Single Leg Supported,Double Arm,Continuous,Goblet,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Bulgarian Split Squat,Advanced,Quadriceps,Kettlebell,Single Leg Supported,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Kettlebell Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Double Arm,Continuous,Goblet,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Landmine,Single Leg Supported,Double Arm,Continuous,Goblet,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Order Bulgarian Split Squat,Intermediate,Quadriceps,Macebell,Single Leg Supported,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Macebell Order Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Macebell,Single Leg Supported,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Macebell Order Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Macebell,Single Leg Supported,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Clubbell Order Bulgarian Split Squat,Intermediate,Quadriceps,Clubbell,Single Leg Supported,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Overhead Bulgarian Split Squat,Intermediate,Quadriceps,Weight Plate,Single Leg Supported,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Tire Bulgarian Split Squat,Novice,Quadriceps,Tire,Single Leg Supported,No Arms,Continuous,No Grip,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Tire Bulgarian Split Squat Jump,Intermediate,Quadriceps,Tire,Single Leg Supported,No Arms,Continuous,No Grip,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Plyometric
Double Dumbbell Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Dumbbell Suitcase Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Dumbbell Goblet Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Double Arm,Continuous,Goblet,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Double Arm,Continuous,Goblet,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Suitcase Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Suitcase Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Dumbbell Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Dumbbell Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Barbell Zercher Knee Over Toe Split Squat,Advanced,Quadriceps,Barbell,Knee Over Toe Split Squat,Double Arm,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Zercher Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Barbell,Knee Over Toe Split Squat,Double Arm,Continuous,No Grip,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Barbell,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Barbell,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Barbell,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Barbell Overhead Foot Elevated Knee Over Toe Split Squat,Expert,Quadriceps,Barbell,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Knee Over Toe Split Squat,Novice,Quadriceps,Bulgarian Bag,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Bulgarian Bag,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Weight Plate,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Bodybuilding
Plate Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Weight Plate,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Clubbell Order Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Order Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Clubbell Order Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Clubbell Order Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Clubbell Order Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Clubbell Order Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Macebell Order Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Macebell Order Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Macebell Order Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Macebell Order Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Macebell Order Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Sandbag Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Sandbag,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Sandbag,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
